game_index;0;0;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25
player_index;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
1;A1.0.0.0;J7.0.0.0;A1.0.0.0;G4.0.0.0;A1.0.0.0;E5.0.0.0;B7.0.0.0;B7.0.0.0;F1.0.1.0;F1.0.1.0;B3.0.0.0;F1.0.0.0;B1.0.0.0;A3.0.0.0;C3.0.0.0;C3.0.0.0;G7.0.0.0;G7.0.0.0;C5.0.1.0;C5.0.1.0;E5.0.0.0;C5.0.0.0;E2.0.0.0;C2.0.1.0;C2.0.0.0;C2.0.0.0;D5.0.1.0;C5.0.0.0;D5.0.1.0;D5.0.1.0;D5.0.1.0;D5.0.1.0;D5.0.1.0;D5.0.1.0;A1.0.0.0;A1.0.1.0;D5.0.0.0;D5.0.0.0;D5.0.0.0;D5.0.0.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;C8.0.1.0;D4.0.0.0;C8.0.0.0
2;A2.0.0.0;H1.0.0.0;A3.0.1.0;B8.0.0.0;A2.0.0.0;D4.0.0.0;D2.0.0.0;D2.0.0.0;E1.0.1.0;E1.0.1.0;B5.0.0.0;A3.0.0.0;B3.0.0.0;C3.0.1.0;G7.0.0.0;G7.0.1.0;C2.0.1.0;C5.0.1.0;D5.0.1.0;D5.0.1.0;E7.0.0.0;C2.0.0.0;E4.0.0.0;B2.0.0.0;D5.0.1.0;C5.0.1.0;C5.0.0.0;D5.0.1.0;D4.0.1.0;D4.0.0.0;D4.0.0.0;D4.0.1.0;D4.0.1.0;D4.0.1.0;B1.0.0.0;C2.0.0.0;F6.0.1.0;F6.0.0.0;F6.0.0.0;F6.0.0.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;D8.0.1.0;E5.0.1.0;E8.0.0.0
3;J4.0.1.0;C2.0.1.0;A5.0.1.0;I2.0.0.0;A3.0.0.0;F6.0.1.0;C7.0.0.0;C7.0.0.0;D1.0.0.0;D1.0.0.0;B7.0.0.0;G7.0.1.0;B5.0.0.0;B3.0.0.0;A3.0.0.0;G8.0.0.0;B2.0.1.0;C4.0.1.0;E5.0.1.1;E5.0.1.1;E3.0.1.0;B2.0.1.0;E6.0.0.0;D2.0.0.0;C5.0.1.0;D5.0.1.0;D4.0.1.0;D4.0.1.0;C4.0.0.0;C5.0.1.0;C5.0.0.0;D3.0.0.0;C4.0.0.0;C4.0.0.0;C1.0.0.0;B1.0.1.0;G6.0.1.0;D4.0.0.0;C8.0.1.0;C8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;E8.0.1.0;F6.0.1.0;A8.0.0.0
4;J3.0.0.0;B2.0.1.0;A7.0.1.0;A5.0.0.0;A5.0.0.0;G6.0.0.0;B4.0.0.0;B4.0.0.0;E2.0.1.0;E2.0.1.0;F5.0.0.0;G6.0.0.0;B7.0.0.0;C2.0.1.0;D9.0.0.0;G6.0.1.1;A2.0.1.0;C3.0.0.0;B2.0.1.0;C2.0.1.0;F3.0.1.0;A2.0.0.0;E8.0.0.0;C1.0.0.0;C4.0.0.0;D4.0.1.0;C4.0.0.0;C4.0.1.0;E4.0.0.0;C4.0.0.0;D6.0.1.1;C4.0.1.0;E4.0.0.0;E4.0.0.0;F4.0.1.0;C1.0.1.0;G5.0.0.0;D6.0.0.0;D8.0.1.0;D8.0.1.0;F8.0.0.0;F8.0.0.0;F8.0.0.0;F8.0.0.0;F8.0.0.0;F8.0.0.0;E7.0.1.0;E7.0.1.0;E7.0.1.0;E7.0.1.0;G7.0.0.0;D8.0.0.0
5;J5.0.1.0;B3.0.0.0;A6.0.1.0;I7.0.0.0;J10.0.1.0;F7.0.0.0;I7.0.0.0;I7.0.0.0;D2.0.1.0;D2.0.1.0;E9.0.1.0;G8.0.1.0;B9.0.0.0;D2.0.0.0;G8.0.0.0;A3.0.0.0;A3.0.0.0;B4.0.1.0;C2.0.1.0;B2.0.1.0;G3.0.1.0;B3.0.1.0;G2.0.0.0;C3.0.1.1;C6.0.1.1;C4.0.0.0;E4.0.0.0;B4.0.1.0;D3.0.1.0;C6.0.0.0;F6.0.1.0;C5.0.0.0;D3.0.1.0;D3.0.1.0;E4.0.1.0;D1.0.1.0;G7.0.0.0;C8.0.1.0;E8.0.1.0;E8.0.1.0;E9.0.0.0;E9.0.0.0;E9.0.0.0;E9.0.0.0;E7.0.1.0;E7.0.1.0;F7.0.0.0;F7.0.0.0;E6.0.0.0;E6.0.0.0;F4.0.0.0;B8.0.0.0
6;J7.0.0.0;B1.0.1.0;A4.0.1.1;G6.0.0.0;I10.0.0.0;F5.0.1.0;C4.0.0.0;I2.0.0.0;C2.0.1.0;C2.0.1.0;E10.0.0.0;G9.0.1.1;D1.0.0.0;B2.0.0.0;F1.0.0.0;D9.0.0.0;A1.0.0.0;B3.0.0.0;D2.0.1.0;A2.0.1.0;H3.0.1.0;B4.0.1.0;G4.0.0.0;C5.0.0.0;F7.0.0.0;E4.0.0.0;D3.0.1.0;B3.0.0.0;D2.0.0.0;B5.0.0.0;G6.0.1.0;B4.0.1.0;D2.0.0.0;D2.0.0.0;G4.0.1.0;E1.0.1.1;H6.0.0.0;D8.0.1.0;F8.0.0.0;F8.0.0.0;E7.0.0.0;E7.0.0.0;E7.0.1.0;E7.0.0.0;F7.0.0.0;F7.0.0.0;E6.0.1.0;E6.0.1.0;F7.0.0.0;F7.0.0.0;E7.0.0.0;G6.0.0.0
7;A4.0.0.0;A1.0.1.1;B2.0.1.0;B7.0.1.0;J9.0.1.1;F4.0.1.1;F1.0.1.0;F1.0.1.0;C3.0.1.0;C3.0.1.0;E8.0.0.0;E1.0.0.0;D3.0.1.0;C1.0.1.0;E9.0.0.0;E9.0.0.0;C5.0.1.0;A4.0.0.0;E2.0.1.0;A3.0.0.0;I3.0.0.0;C4.0.0.0;G6.0.0.0;D5.0.0.0;B2.0.0.0;D3.0.1.0;D2.0.0.0;A4.0.0.0;C3.0.0.0;F6.0.1.0;G5.0.1.0;B3.0.0.0;C3.0.0.0;C3.0.0.0;H4.0.1.0;A4.0.1.0;D4.0.1.0;E8.0.1.0;E9.0.0.0;E9.0.0.0;D5.0.0.0;D5.0.0.0;F7.0.0.0;F6.0.0.0;E6.0.0.0;E6.0.1.0;F6.0.1.0;F6.0.1.0;D7.0.1.0;D7.0.1.0;D6.0.0.0;G5.0.0.0
8;A6.0.0.0;D4.0.0.0;B4.0.0.0;B6.0.0.0;J7.0.0.0;D7.0.0.0;E1.0.1.0;E1.0.1.0;B3.0.1.0;B3.0.1.0;F9.0.0.0;C3.0.1.0;D5.0.0.0;B1.0.0.0;E1.0.0.0;F1.0.0.0;C4.0.1.0;B5.0.0.0;E1.0.0.0;A1.0.0.0;D3.0.1.1;A4.0.0.0;G8.0.0.0;A2.0.0.0;F6.0.1.0;D2.0.0.0;C3.0.0.0;B5.0.0.0;E3.0.0.0;G6.0.1.0;F5.0.1.0;A4.0.0.0;E3.0.0.0;E3.0.0.0;I4.0.1.0;A3.0.1.1;D3.0.0.0;F8.0.0.0;E7.0.0.0;E7.0.0.0;F6.0.1.0;F6.0.1.0;E6.0.0.0;D5.0.1.0;D7.0.1.0;F6.0.1.0;G6.0.1.1;G6.0.1.1;D6.0.0.0;D6.0.0.0;G5.0.1.0;F6.0.1.0
